N,Método,Média,Máximo,Mínimo,DP,CV,Speedup
4,S,0.000005,0.000007,0.000004,0.000001,0.200000,0.045872
4,C,0.000109,0.000157,0.000095,0.000014,0.128440,
8,S,0.000024,0.000026,0.000024,0.000001,0.041667,0.108108
8,C,0.000222,0.000234,0.000217,0.000005,0.022523,
16,S,0.000164,0.000170,0.000162,0.000002,0.012195,0.377011
16,C,0.000435,0.000469,0.000400,0.000015,0.034483,
32,S,0.001230,0.001252,0.001226,0.000006,0.004878,1.314103
32,C,0.000936,0.001086,0.000874,0.000060,0.064103,
64,S,0.009578,0.009722,0.009568,0.000033,0.003445,2.608388
64,C,0.003672,0.003826,0.003569,0.000071,0.019336,
128,S,0.076727,0.079011,0.076478,0.000698,0.009097,3.401321
128,C,0.022558,0.022952,0.022219,0.000235,0.010418,
256,S,0.642309,0.647899,0.641555,0.001458,0.002270,3.707625
256,C,0.173240,0.174618,0.172228,0.000641,0.003700,
512,S,5.800961,5.802348,5.800004,0.000650,0.000112,3.791899
512,C,1.529830,1.532117,1.527176,0.001151,0.000752,
1024,S,45.384019,46.870531,45.170200,0.476872,0.010507,3.824262
1024,C,11.867393,11.873814,11.861211,0.003770,0.000318,
2048,S,371.830772,378.607781,353.525734,8.609971,0.023156,3.945481
2048,C,94.242192,94.779552,93.729342,0.406028,0.004308,
