N,Método,Média,Máximo,Mínimo,DP,CV,Speedup
4,S,0.000005,0.000008,0.000004,0.000001,0.200000,0.028571
4,C,0.000175,0.000234,0.000162,0.000016,0.091429,
8,S,0.000024,0.000025,0.000024,0.000000,0.000000,0.077170
8,C,0.000311,0.000360,0.000288,0.000016,0.051447,
16,S,0.000163,0.000168,0.000162,0.000001,0.006135,0.337474
16,C,0.000483,0.000608,0.000457,0.000031,0.064182,
32,S,0.001230,0.001243,0.001227,0.000005,0.004065,1.311301
32,C,0.000938,0.001108,0.000865,0.000053,0.056503,
64,S,0.009583,0.009607,0.009571,0.000010,0.001044,5.552144
64,C,0.001726,0.001876,0.001648,0.000054,0.031286,
128,S,0.076552,0.076675,0.076529,0.000034,0.000444,15.122876
128,C,0.005062,0.006796,0.004723,0.000522,0.103121,
256,S,0.685422,0.686930,0.683267,0.000614,0.000896,24.791912
256,C,0.027647,0.029813,0.026737,0.000799,0.028900,
512,S,5.903518,5.909067,5.899434,0.002528,0.000428,28.562323
512,C,0.206689,0.209522,0.205218,0.001051,0.005085,
1024,S,47.154142,47.171453,47.147077,0.005607,0.000119,29.924736
1024,C,1.575758,1.578781,1.572586,0.001617,0.001026,
2048,S,364.372344,367.683477,364.016641,0.817910,0.002245,30.328180
2048,C,12.014316,12.034610,12.009186,0.005228,0.000435,
