              n         method            avg            max            min            std
              4              S       0.000005       0.000009       0.000004       0.000001
              4              C       0.000117       0.000161       0.000109       0.000011
              8              S       0.000024       0.000027       0.000024       0.000001
              8              C       0.000235       0.000242       0.000226       0.000004
             16              S       0.000164       0.000174       0.000162       0.000003
             16              C       0.000411       0.000525       0.000382       0.000029
             32              S       0.001229       0.001235       0.001226       0.000002
             32              C       0.000788       0.001013       0.000744       0.000061
             64              S       0.009571       0.009595       0.009567       0.000006
             64              C       0.002244       0.002329       0.002161       0.000043
            128              S       0.076518       0.076688       0.076500       0.000039
            128              C       0.012487       0.012819       0.011967       0.000231
            256              S       0.673155       0.678866       0.671919       0.001481
            256              C       0.093003       0.093850       0.092211       0.000514
            512              S       5.772443       5.777861       5.771487       0.001370
            512              C       0.793009       0.795584       0.790797       0.001007
           1024              S      47.413569      48.435395      47.253737       0.358455
           1024              C       6.110177       6.112712       6.107936       0.001264
           2048              S     391.215217     403.267080     360.740296      12.573166
           2048              C      48.568324      48.810796      48.378530       0.150906
